Filename,Nucleus_ID,Condition,Area_um2,Equivalent_diameter_um,Perimeter_um,Eccentricity,Solidity,Orientation_rad,DAPI_mean_intensity,DAPI_integrated_intensity,Actin_mean_intensity,Centroid_y_px,Centroid_x_px
MAX_Actin.lif - CK666_1.tif,MAX_Actin.lif - CK666_1_nucleus_0001,CK666,108.55755757552126,11.75669065617608,39.948004830511906,0.7175870374825167,0.9889417433743127,-1.3917512791053877,135.5316162109375,2169590.1123046875,71.47969818115234,271.7139555222389,679.6691654172913
MAX_Actin.lif - CK666_1.tif,MAX_Actin.lif - CK666_1_nucleus_0002,CK666,112.02966336504318,11.943223919015383,40.79833871402388,0.7273769018632645,0.9874476987447699,-0.5014880792063257,126.94122314453125,2097069.0063476562,75.00247955322266,396.686803874092,426.2222760290557
MAX_Actin.lif - CK666_1.tif,MAX_Actin.lif - CK666_1_nucleus_0003,CK666,149.89053567539645,13.81472248738466,46.454627344615886,0.6160497346175065,0.9904996639032041,1.5116757423740763,110.13948059082031,2434412.9394989014,60.07573699951172,615.731393928426,404.7473193684115
MAX_Actin.lif - CK666_1.tif,MAX_Actin.lif - CK666_1_nucleus_0004,CK666,134.78823178230013,13.100294152046871,47.29810470814389,0.8528107428577468,0.9850332044801269,1.2989209146280611,123.2682113647461,2450078.9690856934,75.14208221435547,630.4653350774804,748.3055946870597
MAX_Actin.lif - CK666_2.tif,MAX_Actin.lif - CK666_2_nucleus_0006,CK666,200.70399013025533,15.985751687674147,53.38227852459186,0.5542618739369802,0.9929877537325952,-0.037896638126679615,172.74179077148438,5112466.039672852,60.12664031982422,407.22013109879714,270.11403568049735
MAX_Actin.lif - CK666_2.tif,MAX_Actin.lif - CK666_2_nucleus_0007,CK666,170.99442867733438,14.755231903341217,51.55060596106386,0.7861613098445355,0.9904159629207746,1.1322321202574859,183.34808349609375,4623121.925354004,72.65314483642578,701.1105691056911,551.6909379337695
MAX_Actin.lif - CK666_3.tif,MAX_Actin.lif - CK666_3_nucleus_0001,CK666,256.10849071696254,18.057891851577665,61.31952629987985,0.2418784746007292,0.9833103340536882,-0.21240750512766557,104.62651824951172,3951325.0882110596,120.92538452148438,343.0030450669915,622.8981888471112
MAX_Actin.lif - CK666_3.tif,MAX_Actin.lif - CK666_3_nucleus_0002,CK666,239.175193536423,17.45071100357403,61.70744875867983,0.7871740255354527,0.9758722780221909,-0.753787509789527,111.24996185302734,3923674.9045944214,66.65678405761719,433.52490855992517,270.4038390654683
MAX_Actin.lif - CK666_3.tif,MAX_Actin.lif - CK666_3_nucleus_0003,CK666,217.73900916009725,16.65034284614247,56.16218356106386,0.5382468386188874,0.9905290760450409,0.45346775359128494,104.71221923828125,3362099.9353027344,89.04238891601562,705.955213653918,441.73797807400024
MAX_Actin.lif - CK666_3.tif,MAX_Actin.lif - CK666_3_nucleus_0004,CK666,199.47654648200637,15.936794760179737,54.034218804607875,0.6686623804610166,0.98854012636107,-1.241210908332961,104.72694396972656,3080543.056869507,75.56580352783203,711.0353561108278,737.8990651028387
MAX_Actin.lif - CytoD1.tif,MAX_Actin.lif - CytoD1_nucleus_0001,CytoD,185.31686505911227,15.360753917031928,52.857914781087885,0.6169761094950746,0.9878181029496819,1.4078390571412351,88.41413116455078,2416092.962333679,143.6025848388672,510.8184945292202,538.9333260145644
MAX_Actin.lif - CytoD1.tif,MAX_Actin.lif - CytoD1_nucleus_0002,CytoD,2.7125826480639996,1.8584314611729722,7.358376429399986,0.9198356229863021,0.9259259259259259,-1.5637761431926007,33.397499084472656,13358.999633789062,5.327499866485596,958.9775,23.1975
MAX_Actin.lif - CytoD2.tif,MAX_Actin.lif - CytoD2_nucleus_0001,CytoD,94.87257811603838,10.990701441141775,36.61405810345591,0.5752675636665907,0.9902321630804077,-1.236912054563679,125.13916778564453,1750696.957321167,101.82909393310547,540.0373123659757,462.42701929949965
MAX_Actin.lif - CytoD3.tif,MAX_Actin.lif - CytoD3_nucleus_0001,CytoD,94.40465760924734,10.963564350852192,36.565818824631904,0.5778913449642961,0.9903251049299282,-1.2408482395450584,124.58329010009766,1734323.9814834595,62.67861557006836,539.606493786366,462.33611091157246
MAX_Actin.lif - CytoD4.tif,MAX_Actin.lif - CytoD4_nucleus_0001,CytoD,107.20804770810942,11.683386745966207,42.01602549638389,0.6938381947388135,0.9419650837156647,0.28076458880709493,96.84300231933594,1530991.0236663818,69.19634246826172,324.6384970586375,562.4556897969511
MAX_Actin.lif - CytoD4.tif,MAX_Actin.lif - CytoD4_nucleus_0002,CytoD,91.46828689271807,10.791711632590523,36.196457697575916,0.5573170338712325,0.9892189218921892,-0.3087429984611867,103.12240600585938,1390915.0122070312,86.44469451904297,402.8319246737841,687.537737247924
MAX_Actin.lif - CytoD4.tif,MAX_Actin.lif - CytoD4_nucleus_0003,CytoD,14.390250947979517,4.280448173454526,14.202673895271973,0.6808625167924467,0.9837737598516458,-0.030772746163252578,19.758718490600586,41928.00063705444,29.42978286743164,470.1347785108388,828.9655984919887
MAX_Actin.lif - CytoD4.tif,MAX_Actin.lif - CytoD4_nucleus_0004,CytoD,83.4932939074099,10.31052683053149,34.364785134047914,0.25004629596027766,0.986933867735471,0.02194860674554057,105.8953857421875,1303783.9892578125,102.81327056884766,522.0359811565952,459.8074236517219
MAX_Actin.lif - CytoD4.tif,MAX_Actin.lif - CytoD4_nucleus_0005,CytoD,90.80370414394238,10.752435395039564,36.81529177051991,0.7158783717980253,0.9796605209247878,0.3145883284815104,102.59857940673828,1373794.9782562256,95.18431854248047,695.5745332337565,546.5687079910381
MAX_Actin.lif - DMSO1.tif,MAX_Actin.lif - DMSO1_nucleus_0001,DMSO,195.59755329527485,15.781081702753696,52.81653202224786,0.6232947992450988,0.9923278056836166,0.6483030242212614,127.22844696044922,3669650.095680237,63.29001998901367,599.4554311271365,492.2701868737649
MAX_Actin.lif - DMSO2.tif,MAX_Actin.lif - DMSO2_nucleus_0001,DMSO,184.05551412776254,15.30838851786917,53.79302241048787,0.7934245642887199,0.9865149752835126,1.3927692217489485,193.8365936279297,5260918.98765564,96.04090118408203,638.2336317748056,569.1636638296304
MAX_Actin.lif - DMSO3.tif,MAX_Actin.lif - DMSO3_nucleus_0001,DMSO,201.59914240411644,16.02136075037375,54.526896372823856,0.6013304366842358,0.9831663194099943,1.1662728716298973,162.16156005859375,4820738.857421875,107.89185333251953,492.063845532831,556.1950013455329
MAX_Actin.lif - DMSO4.tif,MAX_Actin.lif - DMSO4_nucleus_0001,DMSO,155.0376612500979,14.049913922401057,47.096871041079886,0.6086920110892289,0.9893115236487948,0.6209168617005455,107.08091735839844,2448083.932647705,95.90425109863281,340.2364622517715,648.7194033767825
MAX_Actin.lif - DMSO4.tif,MAX_Actin.lif - DMSO4_nucleus_0002,DMSO,182.99760689501755,15.264330633559943,51.39075505283987,0.6628603002639025,0.9902388903159517,-0.5891807261160127,111.99092102050781,3022075.0037384033,81.0508041381836,406.79203261070967,329.15894015193624
MAX_Actin.lif - DMSO4.tif,MAX_Actin.lif - DMSO4_nucleus_0003,DMSO,163.28391250021244,14.418721663668617,48.960229779895876,0.6285021565084173,0.9864798426745329,-0.7928843086886661,107.04203033447266,2577358.0063934326,88.91141510009766,573.3858709195116,780.7179167704959
MAX_Actin.lif - DMSO4.tif,MAX_Actin.lif - DMSO4_nucleus_0004,DMSO,189.20263970246396,15.5209626904215,52.45059915518386,0.5002390560192319,0.9865280577065875,-0.6481872747687539,103.67512512207031,2892535.9909057617,61.709747314453125,653.6776702508961,468.0331899641577
MAX_Actin.lif - LatA1.tif,MAX_Actin.lif - LatA1_nucleus_0001,LatA,136.91760916103038,13.203367538412968,44.42999766579189,0.6191855744700625,0.9859842750402891,-1.1636304117892082,116.61585235595703,2354474.0590667725,24.855323791503906,340.6792471520555,477.35349182763747
MAX_Actin.lif - LatA1.tif,MAX_Actin.lif - LatA1_nucleus_0002,LatA,2.3870727302963197,1.7433632428074788,5.779605071751984,0.6672256108013852,0.946236559139785,1.1219802363129172,5.7272725105285645,2015.9999237060547,19.721590042114258,677.1647727272727,143.23863636363637
MAX_Actin.lif - LatA1.tif,MAX_Actin.lif - LatA1_nucleus_0003,LatA,123.82939788412158,12.556451974455534,44.87585598696789,0.6250788566401884,0.9623695583429956,1.03980610379237,121.4225082397461,2217175.0004577637,16.49200439453125,751.6747535596933,424.27267250821467
MAX_Actin.lif - LatA2.tif,MAX_Actin.lif - LatA2_nucleus_0001,LatA,167.8546142622003,14.61913583782914,49.93672016813588,0.6419089224944603,0.9839402130704404,-1.0957963306600447,113.67097473144531,2813583.9665527344,26.849506378173828,357.32231738849384,470.34675985778927
MAX_Actin.lif - LatA3.tif,MAX_Actin.lif - LatA3_nucleus_0001,LatA,97.49022037142014,11.14129273476995,42.20898261167989,0.7861085499467393,0.9321748151990663,0.6727812339303975,89.80669403076172,1291061.0333862305,17.35900115966797,300.3710350584307,529.8720784641068
MAX_Actin.lif - LatA3.tif,MAX_Actin.lif - LatA3_nucleus_0002,LatA,81.54023440080383,10.189222292504857,34.566018801111916,0.6835673515565909,0.9880844769496261,0.09232756150056068,93.08873748779297,1119298.9795532227,24.597055435180664,475.7202262142382,671.3400698602794
MAX_Actin.lif - LatA3.tif,MAX_Actin.lif - LatA3_nucleus_0003,LatA,106.84184905062078,11.663415762283165,40.42070103519988,0.6318347370138305,0.970912676403525,-0.902359731891574,79.38533782958984,1250715.997505188,18.560394287109375,550.4964138368772,285.4443033957474
MAX_Actin.lif - LatA3.tif,MAX_Actin.lif - LatA3_nucleus_0004,LatA,110.18510716435966,11.8444938972733,41.06921305522391,0.6779201984455833,0.9648456057007125,-0.2917398229564536,78.625244140625,1277502.966796875,20.078655242919922,740.0574224519941,527.8273633677991
MAX_Ezrin.lif - DMSO1.tif,MAX_Ezrin.lif - DMSO1_nucleus_0001,DMSO,85.1886580624499,10.414680417950095,36.654020830511904,0.8329177784517372,0.9890559798441068,1.0763149134043015,91.77153015136719,1152833.9617614746,29.89937973022461,381.56854004139467,622.8185798439739
MAX_Ezrin.lif - DMSO2.tif,MAX_Ezrin.lif - DMSO2_nucleus_0001,DMSO,85.77864478840382,10.450682400608418,36.8387013940399,0.8325492038292392,0.988743844289846,1.0761437841670976,93.47687530517578,1182388.9957351685,30.71491813659668,381.34563997153924,621.5022531425409
MAX_Ezrin.lif - DMSO2.tif,MAX_Ezrin.lif - DMSO2_nucleus_0002,DMSO,1.6546754153190397,1.4514813717320938,4.86205465999199,0.6886659531273309,0.9384615384615385,0.8332245258355779,185.11065673828125,45167.000244140625,41.03688430786133,388.28688524590166,723.5901639344262
MAX_Ezrin.lif - DMSO3.tif,MAX_Ezrin.lif - DMSO3_nucleus_0001,DMSO,1.5326091961561596,1.396917547735296,4.595024496463992,0.7654722991815622,0.9576271186440678,0.20307562864614484,156.98672485351562,35478.99981689453,12.28761100769043,80.58849557522124,647.1946902654868
MAX_Ezrin.lif - DMSO3.tif,MAX_Ezrin.lif - DMSO3_nucleus_0002,DMSO,381.8706037378297,22.050232507864763,74.88288270162784,0.2981782670665772,0.990362123850226,-1.3192004788113671,88.92509460449219,5007461.00227356,37.3734245300293,490.14549555149085,517.8769689758661
MAX_Ezrin.lif - DMSO4.tif,MAX_Ezrin.lif - DMSO4_nucleus_0001,DMSO,5.133562661461119,2.556610057468324,8.378257804687978,0.5317976930364975,0.9730077120822622,-0.48353810429632843,68.51651000976562,51866.99807739258,69.38969421386719,370.338177014531,457.94848084544253
MAX_Ezrin.lif - DMSO4.tif,MAX_Ezrin.lif - DMSO4_nucleus_0002,DMSO,246.91283554002555,17.73074127926552,59.880624486927836,0.7068448590696977,0.9935600065491459,-0.5147075428937872,135.47421264648438,4932616.082458496,54.259159088134766,511.36116451524305,422.8457841252403
MAX_Ezrin.lif - DMSO5.tif,MAX_Ezrin.lif - DMSO5_nucleus_0001,DMSO,197.8761227196486,15.872734622790258,53.423661283431876,0.5709128322577462,0.9882811176968671,0.18815398930921579,158.4378204345703,4623057.162460327,43.762020111083984,504.6714760615511,437.11926385414165
