Filename,Nucleus_ID,Condition,Area_um2,Equivalent_diameter_um,Perimeter_um,Eccentricity,Solidity,Orientation_rad,DAPI_mean_intensity,DAPI_integrated_intensity,Actin_mean_intensity,Centroid_y_px,Centroid_x_px
MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #5.tif,MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #5_nucleus_0002,DMSO,101.94563737086526,11.393033701074376,37.9350799634479,0.46888773610855855,0.9903814480532315,0.5663213916842356,3434.100341796875,51624830.43823242,1002.4588623046875,423.191645047562,395.78207942526444
MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #6.tif,MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #6_nucleus_0001,DMSO,145.73350276723838,13.62180820287891,46.26167022931988,0.48968916627722714,0.9746031746031746,0.9754511666632064,3720.633544921875,79956414.8803711,2816.685791015625,267.7839925546766,482.9746393671475
MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #6.tif,MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #6_nucleus_0002,DMSO,169.8687068783878,14.706582030185984,50.14138209519187,0.4781944731133529,0.9803146524733876,0.7435050641108562,3050.04931640625,76400685.32666016,3879.82275390625,336.60836759950496,309.0612000479061
MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #7.tif,MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #7_nucleus_0001,DMSO,113.03331894482686,11.996603333994827,42.914598658719875,0.8338165249699849,0.9842338352524358,-0.9172957960070776,4060.265380859375,67676503.36816406,1422.9093017578125,268.7171226301896,458.8857091432685
MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #7.tif,MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #7_nucleus_0002,DMSO,138.98595343017917,13.302721979731212,45.912290465791884,0.7661777302519787,0.9864272994176253,-1.171510815126166,3766.559326171875,77195633.38989258,1126.5855712890625,467.8921688216638,496.30719687728714
MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #8.tif,MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #8_nucleus_0001,DMSO,141.17636391849086,13.407137253080727,45.84406982343989,0.7110133398555805,0.9866818332622399,1.5632616519840996,3299.0205078125,68679008.93164062,2707.857666015625,133.53919684888078,439.71193198193873
MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #8.tif,MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #8_nucleus_0002,DMSO,126.06049711215422,12.669065078061898,42.461883817559894,0.4764984929262497,0.9878308002975874,-0.5134097655579578,3473.38330078125,64566722.178222656,2404.989013671875,461.6267147237614,449.71380924202487
MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #9.tif,MAX_DMSO_Actin_cells-Airyscan Processing-07.czi - DMSO_Actin_cells-Airyscan Processing-07.czi #9_nucleus_0004,DMSO,162.99909132216573,14.406140663872455,51.82490856225588,0.8503420905775152,0.9791827921945655,-1.2902732362786844,2887.651123046875,69407582.39355469,2230.754638671875,360.9425445165585,609.3728989848561
MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #1.tif,MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #1_nucleus_0002,DMSO,196.62833470153916,15.822609498986598,52.972954670479865,0.6022093876566345,0.99267349104728,-0.5732403770205886,3424.375,99289753.125,4955.28515625,374.06614933609245,408.22783238489393
MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #2.tif,MAX_DMSO_Myosin-Airyscan Processing-01.czi - DMSO_Myosin-Airyscan Processing-01.czi #2_nucleus_0001,DMSO,190.42330189409276,15.570949817226987,52.675242445767864,0.6778415558904322,0.9900571186799239,-0.8605781903584829,3706.1298828125,104068127.109375,8248.57421875,278.6348646723647,433.567094017094
